pagePath,exits
/blog/congratulations-cohort-e29-graduates/?fbclid=IwAR3Qzau4OoS1yosFst724p4-6WhKdspzXEHJglNEN8gJw8nA1pZP8YRTioM,1
/blog/9-websites-start-coding-journey/,171
/blog/codeclan-highlands-gets-a-space-in-wasps/?fbclid=IwAR2xlvT0lA7NSNc4ny0VQrUtMQARaVJzSCNHMZTEBpXye7um4eKsR8-yzvo,1
/courses/professional-software-development/cost-and-funding/?mc_cid=39d929350b&mc_eid=f6b4c1b8d7,4
/blog/new-funding-opens-up-careers-in-coding/?fbclid=IwAR0r-0PMmxOzJ-WlvBTmZS4Dcu1mdZkmJZNaDE7MeEP9Kk6ONdFVhoiYvHU,2
/blog/meet-our-graduates-alex-junior-software-developer/?mc_cid=39d929350b&mc_eid=[UNIQID,10
/blog/new-funding-opens-up-careers-in-coding/?fbclid=IwAR1q5_i8rkqT_1xHKibG2axgCfDWSan4dgZLGQvQ8Mb-Z9c3dmjvJnkUvbE,2
/courses/professional-software-development/cost-and-funding/?mc_cid=39d929350b&mc_eid=f6b4c1b8d7,4
/blog/2018-our-year-in-review/,171
/about-us/join-us/sales-and-marketing-operations-coordinator/,86
/courses/professional-software-development/?mc_cid=44e8a9ea68&mc_eid=2621b37782,2
/blog/scottish-companies-tech-gender-gap/,69
/?s=maria,1
/blog/how-i-discovered-code/?fbclid=IwAR258vd-4zhJGk7ylxj5fxb_p_y_8fzBCkkRt47R0ZD1OXZRSyVtgAS5wmg,2
/courses/full-stack-web-development/?fbclid=IwAR1oSVZhucGlFMC43D7I6uI9YSs-FhtS6bBdxh4nOCLLSmb8VCETZ1B1ZKI,2
/?p=16805&preview_id=16805&preview_nonce=5c47f3a41c&_thumbnail_id=16806&preview=true,1
/blog/make-most-of-github/?mc_cid=18a34d3af6&mc_eid=f159ff473e,1
/blog/happy-pride-month/?fbclid=IwAR3qXWyXwDridJ_-WleZiZ2tfUy1C1_BwsdsLiU0_ZT4tKTq3ctdXvk5O4E,1
/blog/codeclan-highlands-gets-a-space-in-wasps/?fbclid=IwAR21T5Vpoyow0D5OWj1rVYZI6U6og8mD7u0gosTsC7LDOC0t-lfpuyE0sEY,1
/about-us/join-us/?fbclid=IwAR2dl-3RjDu42Z_e_PQEjwtG-uu3HN9myepMTDSoWZ7GfS3Bwad__BVBhHU,1
/blog/experience-last-thing-need/,7
/courses/programming-with-r/,216
/about-us/join-us/technical-writer-for-data/?fbclid=IwAR17dB0vgjtVoGDof6bNNBQ5Khm8yAsW1kBs1fppHp_UzfNz-YRoPMqyCE0,1
/edinburgh/,733
/data-analysis-announcement/?fbclid=IwAR0U0z5NEhkcplhzZKTWIp-RLqVFjsME8shL798TW_HGwPAEDN_yNxd_8fQ,14
/blog/happy-pride-month/,30
/about-us/join-us/social-media-and-digital-marketing-specialist/?fbclid=IwAR0PtJjzIHAT3t-iPk89_b2X9OdzYHQJF8RJzOcHM33pAQoIrLqoljTvwEU,1
/?fbclid=IwAR2WEz83jlh0Lr0Y-RiQjV_xjD57CxgcaRnwyH5vqK2UYWfIfdVZ00mFJEc,1
/students/5,4
/blog/hire-a-developer-technical-interviews/,109
/blog/congratulations-cohort-e29-graduates/?fbclid=IwAR2aV2GeMa8cZPoSnfA23iUPhGJEIRrd6oihzduvHi0cPudgr74yX4RBSRI,22
/blog/how-i-discovered-code/,101
/blog/call-centre-advisor-developer/,7
