pagePath,pageviews
/blog/how-i-discovered-code/,166
/courses/professional-software-development/cost-and-funding/?mc_cid=39d929350b&mc_eid=f6b4c1b8d7,4
/events/info-taster-session-events/?mc_cid=0b5d0b7482&mc_eid=6f6734f9a3,3
/courses/thank-you-for-joining-our-bespoke-course/,10
/blog/find-inspiration-kats-student-project/,7
/blog/no-tech-background-no-problem-8-career-changers-from-different-backgrounds/?mc_cid=93a9092e93&mc_eid=53adfd05e5,3
/?elementor_library=course-form&elementor-preview=7926&ver=1554901214,1
/?preview_nonce=6f37cad841,2
/courses/ux-design-fundamentals/?mc_cid=669771da32&mc_eid=9efa5cd925,2
/blog/tag/coding/page/4/,5
/events/info-taster-session-events/?mc_cid=04e78ebf46&mc_eid=ce4326d935,3
/blog/an-app-to-put-charity-shops-on-the-map/?fbclid=IwAR1lv9yup25sMA-SA7YYlwIJGIgJx6bjRUqq6dnNyISqCT4oghEuknZdqcU,2
/courses/full-stack-web-development/,3603
/blog/no-tech-background-no-problem-8-career-changers-from-different-backgrounds/?mc_cid=93a9092e93&mc_eid=9707d1d662,3
/?mc_cid=669771da32&mc_eid=[UNIQID,10
/data-analysis-announcement/?mc_cid=b8adbaa012&mc_eid=ebd461a498,2
/blog/leaving-oil-gas-for-a-career-in-tech-roberts-story/,282
/blog/meet-our-graduates-alex-junior-software-developer/?mc_cid=39d929350b&mc_eid=5eaf4e654c,4
/?s=E29,3
/courses/full-stack-web-development/cost-and-funding/?mc_cid=fd09f18f12&mc_eid=7c9d1b95d2,2
/?fbclid=IwAR1A4TetFRGF1Sxv20ffYsCsCIdBaAvF4j2XOEHek1HmjsjeMlZr2dCMIyg,1
/courses/full-stack-web-development/apply-inverness/course_application_hie_0,3
/blog/category/events/,2
/blog/,1660
/webinars/?fbclid=IwAR1zH0KUz9QE-ljSmzGePGafkeY9VRYKhwWZbr7iVPLfFThwDXTSvb_P8aQ,2
/data-analysis-announcement/?fbclid=IwAR0U0z5NEhkcplhzZKTWIp-RLqVFjsME8shL798TW_HGwPAEDN_yNxd_8fQ,16
/blog/author/brian/,10
/courses/professional-software-development/cost-and-funding/?mc_cid=93a9092e93&mc_eid=b7a321a23c,2
/events/info-taster-session-events/?mc_cid=0b5d0b7482&mc_eid=6f6734f9a3,3
/inverness/?mc_cid=4f230ab388&mc_eid=372fc97a84,2
/blog/tag/alumni/,12
/blog/student-codeclan-expect-prepare/,76
/the-codeclan-experience/,917
/data-analysis-announcement/,7353
/blog/9-common-misconceptions-coding/,184
/blog/author/codeclan/,23
/Edinburgh/,274
/blog/meet-our-graduates-tom-software-developer-inoapps/,44
/blog/meet-our-partners-airts/,56
/brand,4
/?fbclid=IwAR1D3IO8uJEaasaOnYo27cSgYatVgkXwt2vphbkhjFKQfqKoQ0zHWCXsAjU,1
/events/glasgow/?fbclid=IwAR2IQAbka-Ky0A0tCKnSBzxAkwij-rhcq5xYeyW3vGojieLNmPXA0lJLrbs,4
/blog/ewa-jamie-martas-app-play-store/,19
/events/info-taster-session-events/?mc_cid=0b5d0b7482&mc_eid=4f39d5fe14,2
/blog/scotland-place-to-work-digital/,8
/courses/professional-software-development/cost-and-funding/?mc_cid=39d929350b&mc_eid=7c9d1b95d2,2
/?elementor-preview=15&ver=1556287172,2
/?fbclid=IwAR1-Yd9BYTwzhIy4if-GDUA2LiEzh4Wl6Gzzki-bGsnb1M_5tjYFiVVxsN4,1
/blog/meet-our-graduates-alex-junior-software-developer/?mc_cid=39d929350b&mc_eid=c844305ffb,2
/blog/glasgow-coding-bootcamp-career/,122
/?fbclid=IwAR1CJaVbK9_LHGGJfIeEF7aPiYgQXFuxiK89Hv7OHi_rFMK2JYat97LmzF8,1
/blog/welcome-to-our-commercial-director/,53
/data-analysis-announcement/apply-for-data-analysis/?fbclid=IwAR14itoq9Bu33acRg21zwqblE1UJeihr-kmSY6RVU2pIjkM3RHEUvEceyRY,3
/?elementor_library=course-form&elementor-preview=7926&ver=1554912512,1
/courses/ux-design-fundamentals/?mc_cid=669771da32&mc_eid=3a3fc8b2bd,2
/blog/new-funding-opens-up-careers-in-coding/?fbclid=IwAR1FF3Tq4erEaY5Vgy8wzCM5FeuEZTqHWMOknxq1dwbGU8DOMAiMS76SRG8,2
/events/info-taster-session-events/,3963
/blog/category/inspiring-stories/page/2/,81
/blog/leaving-oil-gas-for-a-career-in-tech-roberts-story/?fbclid=IwAR0QrsE-fpWltN6STXvEbBkYGUkHuaQkj8z_mfbubwOZ8OWDPG9ssqzxzWM,3
