date,city,latitude,longitude,deviceCategory,goal3Completions,goal5Completions,sessions
2019-02-25,Edinburgh,55.9533,-3.1883,mobile,1,2,43
2019-03-12,Edinburgh,55.9533,-3.1883,mobile,0,1,29
2019-03-21,Glasgow,55.8642,-4.2518,mobile,1,0,23
2019-08-07,Edinburgh,55.9533,-3.1883,desktop,0,2,66
2019-08-17,(not set),0.0000,0.0000,mobile,0,1,21
2019-05-06,Glasgow,55.8642,-4.2518,desktop,1,0,25
2019-06-21,Warsaw,52.2297,21.0122,desktop,0,1,1
2019-04-24,London,51.5074,-0.1278,mobile,0,1,48
2019-08-20,Edinburgh,55.9533,-3.1883,mobile,0,1,34
2019-07-01,Livingston,55.9007,-3.5181,desktop,0,1,6
2019-02-15,Dunfermline,56.0717,-3.4522,mobile,0,1,6
2019-03-07,Glasgow,55.8642,-4.2518,mobile,1,0,34
2019-05-20,Edinburgh,55.9533,-3.1883,desktop,1,0,64
2019-08-28,London,51.5074,-0.1278,tablet,0,1,2
2019-04-08,London,51.5074,-0.1278,desktop,2,0,41
2019-08-26,Livingston,55.9007,-3.5181,desktop,0,1,3
2019-07-22,Hamilton,55.7776,-4.0537,mobile,1,0,5
2019-05-28,Edinburgh,55.9533,-3.1883,mobile,1,0,20
2019-05-30,London,51.5074,-0.1278,desktop,1,0,25
2019-08-12,Huddersfield,53.6458,-1.7850,mobile,0,1,1
2019-08-21,Falkirk,56.0019,-3.7839,desktop,0,1,2
2019-07-19,Glasgow,55.8642,-4.2518,desktop,1,0,26
2019-08-24,London,51.5074,-0.1278,mobile,0,1,28
2019-09-04,Edinburgh,55.9533,-3.1883,mobile,0,2,71
2019-03-01,Livingston,55.9007,-3.5181,desktop,0,1,6
2019-07-01,Alloa,56.1141,-3.7919,mobile,1,0,3
2019-07-02,Motherwell,55.7832,-3.9811,mobile,1,0,2
2019-07-23,Livingston,55.9007,-3.5181,desktop,0,1,6
2019-04-08,Glasgow,55.8642,-4.2518,mobile,1,0,25
2019-07-30,Dundee,56.4620,-2.9707,mobile,0,1,3
2019-03-18,Edinburgh,55.9533,-3.1883,desktop,0,1,89
2019-07-20,Aberdeen,57.1497,-2.0943,desktop,0,1,3
2019-03-05,Edinburgh,55.9533,-3.1883,desktop,0,1,78
2019-04-17,Glasgow,55.8642,-4.2518,mobile,1,0,14
2019-02-26,Dumbarton,55.9453,-4.5646,desktop,1,0,1
2019-05-20,Edinburgh,55.9533,-3.1883,desktop,1,0,64
2019-07-09,Glasgow,55.8642,-4.2518,desktop,1,0,42
2019-03-14,Edinburgh,55.9533,-3.1883,desktop,1,2,89
2019-08-25,Glasgow,55.8642,-4.2518,mobile,1,0,19
2019-04-23,Glasgow,55.8642,-4.2518,desktop,1,0,75
2019-08-28,Glasgow,55.8642,-4.2518,mobile,1,0,26
2019-08-12,Warsaw,52.2297,21.0122,desktop,0,1,1
2019-08-07,Edinburgh,55.9533,-3.1883,mobile,0,1,57
2019-07-15,Edinburgh,55.9533,-3.1883,desktop,0,2,71
2019-08-21,(not set),0.0000,0.0000,mobile,0,1,12
2019-04-13,Edinburgh,55.9533,-3.1883,mobile,0,1,13
2019-08-01,(not set),0.0000,0.0000,desktop,1,1,21
2019-08-09,Edinburgh,55.9533,-3.1883,desktop,0,1,42
2019-09-04,London,51.5074,-0.1278,mobile,1,0,51
2019-09-02,Glasgow,55.8642,-4.2518,desktop,1,0,39
2019-08-24,Glasgow,55.8642,-4.2518,desktop,1,0,14
2019-06-14,Bradford,53.7960,-1.7594,desktop,1,0,1
2019-07-17,(not set),0.0000,0.0000,mobile,0,1,24
2019-03-01,Rutherglen,55.8290,-4.2243,mobile,1,0,5
2019-07-19,Glasgow,55.8642,-4.2518,desktop,1,0,26
2019-03-01,Rutherglen,55.8290,-4.2243,mobile,1,0,5
2019-03-07,Glasgow,55.8642,-4.2518,mobile,1,0,34
2019-05-04,Glasgow,55.8642,-4.2518,desktop,1,0,20
2019-08-04,Edinburgh,55.9533,-3.1883,mobile,1,1,43
2019-08-27,Dundee,56.4620,-2.9707,desktop,0,1,6
2019-08-08,Cumbernauld,55.9457,-3.9925,desktop,2,0,3
2019-07-01,Ashford,51.4275,-0.4553,mobile,0,1,1
2019-05-27,Rutherglen,55.8290,-4.2243,desktop,1,0,1
2019-07-17,(not set),0.0000,0.0000,desktop,1,0,17
2019-09-02,Glasgow,55.8642,-4.2518,mobile,0,1,29
2019-02-15,Glasgow,55.8642,-4.2518,mobile,0,1,38
2019-04-06,Edinburgh,55.9533,-3.1883,desktop,0,1,18
2019-07-29,Glasgow,55.8642,-4.2518,desktop,1,0,34
2019-07-31,Edinburgh,55.9533,-3.1883,desktop,0,1,56
2019-08-09,London,51.5074,-0.1278,desktop,0,1,29
2019-04-17,Stirling,56.1165,-3.9369,desktop,1,0,1
2019-06-06,Edinburgh,55.9533,-3.1883,desktop,0,1,66
2019-01-31,Glasgow,55.8642,-4.2518,mobile,1,1,41
2019-06-02,Cumbernauld,55.9457,-3.9925,mobile,1,0,3
2019-05-07,Glasgow,55.8642,-4.2518,desktop,0,1,65
2019-02-07,Edinburgh,55.9533,-3.1883,mobile,0,2,70
2019-06-18,Edinburgh,55.9533,-3.1883,mobile,0,1,64
2019-02-05,Watford,51.6565,-0.3903,desktop,1,0,1
2019-09-02,Stirling,56.1165,-3.9369,desktop,1,0,4
2019-07-08,Dunfermline,56.0717,-3.4522,desktop,0,1,1
2019-02-18,London,51.5074,-0.1278,mobile,0,1,34
2019-05-05,Dundee,56.4620,-2.9707,desktop,1,0,1
2019-05-05,Edinburgh,55.9533,-3.1883,mobile,1,2,31
2019-07-03,Edinburgh,55.9533,-3.1883,desktop,1,2,58
2019-05-14,Glasgow,55.8642,-4.2518,desktop,2,0,43
2019-06-26,Edinburgh,55.9533,-3.1883,desktop,1,0,62
2019-05-21,Edinburgh,55.9533,-3.1883,desktop,1,0,58
2019-02-18,Edinburgh,55.9533,-3.1883,desktop,0,1,64
