channelGrouping,socialNetwork,sessions,bounceRate,organicSearches,goal5ConversionRate,goal3ConversionRate
Social,Instagram,95,42.857142857142854,0,1.0526315789473684,0.3951367781155016
Social,Blogger,8,75,0,0,0.045085662759242556
Social,Meetup,95,100,0,0,0.045085662759242556
Email,(not set),6580,61.947513812154696,0,0.6404565630944832,0.21872265966754156
Social,Instagram Stories,1810,0,0,0.32967032967032966,0.5524861878453038
Social,LinkedIn,2218,62.5,0,0,0
Social,Blogger,1,100,0,0,0.045085662759242556
Social,Glassdoor,7,75,0,0,0
(Other),(not set),19068,73.85031559963932,27713,0.32967032967032966,0.46924540266328474
Social,WordPress,7,0,0,0,0.045085662759242556
Social,Instagram Stories,2218,0,0,0.5030621172353456,0
Social,Quora,3,62.5,0,0,0
Social,Blogger,95,62.04419889502763,0,0,0.045085662759242556
Social,Instagram Stories,910,40,0,0.7596685082872928,0.2762430939226519
Social,LinkedIn,1810,68.36584854206,0,0,0
Social,LinkedIn,1810,75,0,0,0
Direct,(not set),4572,62.5,27713,0.5030621172353456,0.21872265966754156
Social,Blogger,1,68.36584854206,0,0,0
Social,Instagram,1,59.78021978021978,0,0.6404565630944832,0.6593406593406593
Social,Glassdoor,1,62.04419889502763,0,0,0
Social,WordPress,7,42.857142857142854,0,0,0
