date,pagePath,exits,pageviews
2018-09-10,/,11,12
2018-09-10,/?elementor-preview=15&ver=1536574577,0,3
2018-09-10,/about-us/,0,1
2018-09-10,/about-us/become-an-instructor/,1,2
2018-09-10,/about-us/join-us/,4,16
2018-09-10,/about-us/our-team/,1,1
2018-09-10,/about/,0,1
2018-09-10,/accessibility/,0,1
2018-09-10,/blog/,3,3
2018-09-10,/blog/7-celebrities-didnt-know-code/,2,7
2018-09-10,/blog/9-common-misconceptions-coding/,0,1
2018-09-10,/blog/apply-immersive-programming-course/,3,4
2018-09-10,/blog/author/wojtek/,0,1
2018-09-10,/blog/best-podcasts-coders-programmers/,0,1
2018-09-10,/blog/built-after-five-weeks-learning-code/,0,1
2018-09-10,/blog/career-change-into-digital/,1,1
2018-09-10,/blog/carving-a-career-as-a-developer-my-coding-journey/,10,17
2018-09-10,/blog/category/careers-in-tech/,3,5
2018-09-10,/blog/category/careers-in-tech/page/2/,2,3
2018-09-10,/blog/category/careers-in-tech/page/3/,3,4
2018-09-10,/blog/category/inspiring-stories/,1,1
2018-09-10,/blog/category/inspiring-stories/page/2/,0,1
2018-09-10,/blog/category/instructor-blogs/,0,1
2018-09-10,/blog/category/learning-to-code/,58,197
2018-09-10,/blog/codebar-edinburgh-glasgow-coding/,1,7
2018-09-10,/blog/codeclan-ceo-melinda-matthews/,0,1
2018-09-10,/blog/codeclan-scoops-scotlandis-award/,5,5
2018-09-10,/blog/creatives-make-good-coders/,1,8
2018-09-10,/blog/day-life-web-developer/,0,1
2018-09-10,/blog/employers-andrew-lints-craneware/,1,2
2018-09-10,/blog/ewa-jamie-martas-app-play-store/,0,1
2018-09-10,/blog/finding-a-career-you-love/,1,1
2018-09-10,/blog/graduate-kate-developer-cultivate/,1,1
2018-09-10,/blog/graduates-charley-junior-developer/,1,1
2018-09-10,/blog/graduates-peter-tester-junior-software-developer/,0,1
2018-09-10,/blog/graphic-designer-trainee-software-developer-meet-tahnee/,2,31
2018-09-10,/blog/hire-developers-online-tests/,8,16
2018-09-10,/blog/hiring-developers-for-the-future/,1,2
2018-09-10,/blog/learn-to-code-working/,3,11
2018-09-10,/blog/meet-graduates-james-third-sector-lobbyist-software-developer/,1,9
2018-09-10,/blog/meet-matthew-developer-evangelist-wallet-services/,0,1
2018-09-10,/blog/meet-our-graduates-tom-software-developer-inoapps/,1,1
2018-09-10,/blog/meet-our-partners-airts/,1,3
2018-09-10,/blog/meet-team-louise-instructor/,0,1
2018-09-10,/blog/most-asked-questions/,2,2
2018-09-10,/blog/national-coding-week-2018/,1,1
2018-09-10,/blog/new-job-in-digital-codeclan/,1,4
2018-09-10,/blog/page/2/,1,1
2018-09-10,/blog/page/3/,2,2
2018-09-10,/blog/page/4/,0,1
2018-09-10,/blog/page/5/,0,2
2018-09-10,/blog/students-prototyped-online-dashboard-sustainability-consultancy/,13,22
2018-09-10,/blog/tag/career-changer/,1,1
2018-09-10,/blog/took-back-control-coding/,11,17
2018-09-10,/blog/what-is-javascript-and-why-learn-it/,1,3
2018-09-10,/courses/,0,1
2018-09-10,/courses/16-week-course/,1,1
2018-09-10,/courses/16-week-course/curriculum/,0,1
2018-09-10,/courses/agile-for-effective-teams/,0,3
2018-09-10,/courses/bespoke-courses/,0,1
2018-09-10,/courses/browse-all-course-dates/,3,3
2018-09-10,/courses/professional-software-development/,3,4
2018-09-10,/courses/professional-software-development/application-and-dates/,4,5
2018-09-10,/courses/professional-software-development/apply/,0,1
2018-09-10,/courses/professional-software-development/career-support/,0,1
2018-09-10,/courses/professional-software-development/cost-and-funding/,5,15
2018-09-10,/courses/professional-software-development/course-cost-faqs/,0,1
2018-09-10,/courses/professional-software-development/curriculum/,4,6
2018-09-10,/courses/professional-software-development/student-case-studies/,1,1
2018-09-10,/courses/professional-software-development/student-projects/,4,9
2018-09-10,/courses/r-programming/,3,4
2018-09-10,/courses/understanding-programming/,1,5
2018-09-10,/courses/ux-design-fundamentals/,0,1
2018-09-10,/digital-careers,0,1
2018-09-10,/digital-careers/,0,1
2018-09-10,/enquire/,1,1
2018-09-10,/events/,8,10
2018-09-10,/for-employers/,1,1
2018-09-10,/for-employers/employer-case-studies/,0,1
2018-09-10,/for-employers/employer-case-studies/castlight-2/,2,3
2018-09-10,/for-employers/hire-with-codeclan/,0,3
2018-09-10,/for-employers/upskill-your-staff/,7,10
2018-09-10,/glasgow/,1,2
2018-09-10,/national-coding-week-2018/,1,2
2018-09-10,/pre-course-work/,1,1
2018-09-10,/site-map/,29,84
2018-09-10,/the-codeclan-experience/,1,1
2018-09-10,/the-codeclan-experience/a-typical-day/,0,1
2018-09-10,/the-codeclan-experience/the-alumni/,3,17
2018-09-11,/,1,4
2018-09-11,/?elementor_library=course-form&elementor-preview=7926&ver=1536668316,0,1
2018-09-11,/?s=edinburgh+employers,1,1
2018-09-11,/?s=Nhs,1,5
2018-09-11,/about-us/,0,1
2018-09-11,/about-us/become-an-instructor/,3,19
2018-09-11,/about-us/join-us/,1,2
2018-09-11,/about-us/our-team/,0,1
2018-09-11,/accessibility/,0,3
2018-09-11,/blog/,1,1
2018-09-11,/blog/7-celebrities-didnt-know-code/,1,1
2018-09-11,/blog/9-common-misconceptions-coding/,2,14
2018-09-11,/blog/apply-immersive-programming-course/,0,1
2018-09-11,/blog/ask-for-help-coding/,1,2
2018-09-11,/blog/author/jonathan/,1,7
2018-09-11,/blog/author/jonathan/page/8/,4,4
2018-09-11,/blog/author/wojtek/,1,5
2018-09-11,/blog/battled-pokemon-project/,1,2
2018-09-11,/blog/best-podcasts-coders-programmers/,0,1
2018-09-11,/blog/built-after-five-weeks-learning-code/,0,1
2018-09-11,/blog/call-centre-advisor-developer/,0,1
2018-09-11,/blog/career-change-developer/,2,3
2018-09-11,/blog/career-change-into-digital/,0,2
2018-09-11,/blog/carving-a-career-as-a-developer-my-coding-journey/,1,1
2018-09-11,/blog/category/careers-in-tech/,2,3
2018-09-11,/blog/category/careers-in-tech/page/2/,0,2
2018-09-11,/blog/category/careers-in-tech/page/3/,2,12
2018-09-11,/blog/category/employers/,0,1
2018-09-11,/blog/category/employers/page/2/,11,15
2018-09-11,/blog/category/inspiring-stories/,1,1
2018-09-11,/blog/category/inspiring-stories/page/2/,4,22
2018-09-11,/blog/category/instructor-blogs/,0,1
2018-09-11,/blog/category/learning-to-code/,1,1
2018-09-11,/blog/category/whats-happening-at-codeclan/,0,1
2018-09-11,/blog/category/whats-new/,0,1
2018-09-11,/blog/celebrate-joint-graduation/,3,10
2018-09-11,/blog/change-story-not-just-career/,0,3
2018-09-11,/blog/claires-ruby-project-cycle-ride-logging-application/,4,11
2018-09-11,/blog/codebar-edinburgh-glasgow-coding/,1,1
2018-09-11,/blog/codeclan-ceo-melinda-matthews/,0,1
2018-09-11,/blog/codeclan-ceo-women-tech/,0,3
2018-09-11,/blog/codeclan-glasgow-employer-partners/,0,3
2018-09-11,/blog/codeclan-scoops-scotlandis-award/,1,1
2018-09-11,/blog/codeclan-students-changed-career/,12,49
2018-09-11,/blog/codeclan-students-meet-employers-at-speed-networking-event/,1,7
2018-09-11,/blog/codeclan-students-natasha-glasgow/,2,2
2018-09-11,/blog/creatives-make-good-coders/,3,4
2018-09-11,/blog/current-skills-perfect-coding/,1,2
2018-09-11,/blog/david-nhs-junior-developer/,1,2
2018-09-11,/blog/day-life-software-developer/,1,1
2018-09-11,/blog/day-life-web-developer/,3,3
2018-09-11,/blog/employers-catriona-dick-zonal/,0,1
2018-09-11,/blog/find-inspiration-kats-student-project/,2,6
2018-09-11,/blog/finding-a-career-you-love/,1,6
2018-09-11,/blog/fiona-adam-talk-ux-human-choices-bad-websites/,4,10
2018-09-11,/blog/glasgow-coding-bootcamp-career/,13,40
2018-09-11,/blog/graduate-chris-android-developer/,1,1
2018-09-11,/blog/graduate-kate-developer-cultivate/,1,1
2018-09-11,/blog/graduate-milestone-diversity/,6,12
2018-09-11,/blog/graduate-natalie-ux-analyst/,1,1
2018-09-11,/blog/graduates-charley-junior-developer/,0,1
2018-09-11,/blog/graduates-hayley-microbiologist-software-developer/,1,3
2018-09-11,/blog/graduates-journalist-junior-developer/,1,12
2018-09-11,/blog/graduates-peter-tester-junior-software-developer/,0,1
2018-09-11,/blog/graphic-designer-trainee-software-developer-meet-tahnee/,1,10
2018-09-11,/blog/hire-a-developer-technical-interviews/,14,28
2018-09-11,/blog/hire-developer-screening-candidates/,1,1
2018-09-11,/blog/hire-developers-online-tests/,0,3
2018-09-11,/blog/hiring-developers-for-the-future/,0,4
2018-09-11,/blog/kates-project-diary-an-android-food-tracking-app/,0,3
2018-09-11,/blog/learn-to-code-working/,0,1
2018-09-11,/blog/meet-our-graduates-tom-software-developer-inoapps/,1,1
2018-09-11,/blog/meet-our-instructors-keith/,14,32
2018-09-11,/blog/meet-team-louise-instructor/,8,14
2018-09-11,/blog/most-asked-questions/,0,1
2018-09-11,/blog/national-coding-week-2018/,8,53
2018-09-11,/blog/new-job-in-digital-codeclan/,3,9
